search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
dried fruit,13.0,5,37.0,4.6,29,3.9,2175,4.1,145
drinking water,26.0,5,6.0,4.7,7100,4.8,11239,4.6,175
dry cat food,37.0,5,,4.4,329,4.8,4525,,
dry erase board,10.0,1,24.0,4.6,10688,4.6,13130,4.7,41
dry erase boards,1.0,5,26.0,4.6,1113,4.6,13130,4.7,41
dry erase markers,27.0,5,38.0,4.7,4964,4.7,35829,4.7,386
dryer sheet,42.0,5,,4.4,259,4.8,15627,,
dslr camera bag,16.0,3,,4.7,20448,4.6,4094,,
dslr tripod,10.0,1,,4.6,49126,4.5,1291,,
dt teals,48.0,2,8.0,4.8,403,4.8,22991,4.8,2920
dt teals bubble bath,23.0,5,9.0,4.8,403,4.8,22991,4.8,167
dt teals epsom salt,14.0,2,3.0,4.8,19676,4.8,22991,4.8,2920
dt880,,1,5.0,,,4.5,1331,4.7,12848
dtja,,1,,,,4.5,1054,,
dual monitor stand,24.0,5,,4.3,176,4.7,3601,,
duck tape,7.0,3,,4.6,371,4.7,4000,,
ducky one 2 mini,13.0,2,2.0,4.6,4784,4.7,469,4.7,469
duct tape,10.0,3,6.0,4.6,547,4.8,11489,4.6,2161
duffle bag,9.0,5,30.0,4.7,7323,4.8,2077,4.8,3132
dumbbell set,1.0,5,10.0,4.8,34048,4.7,12938,4.7,2892
dumbbells,1.0,2,2.0,4.8,11727,4.7,2283,4.7,2283
dumbell set,1.0,5,9.0,4.8,34048,4.7,12938,4.5,7630
dust mask,12.0,5,7.0,4.6,138,4.4,1576,4.7,100
dutch oven,5.0,3,10.0,4.7,16735,4.1,32,4.7,1175
duvet cover,27.0,5,44.0,4.2,27790,4.4,43213,4.6,172
duvet covers king size,20.0,5,,4.2,27791,4.5,15722,,
duvet covers queen size,44.0,5,12.0,4.1,6,4.5,15722,4.5,3012
dvd movies,6.0,2,,4.7,22561,4.7,2861,,
dvd storage,4.0,3,,4.7,22560,4.1,3475,,
dvr recorders for tv,1.0,4,9.0,4.1,10476,3.5,115,3.5,41
dwight funko pop,48.0,1,5.0,4.9,1180,4.9,1129,4.8,933
dwight schrute funko pop,32.0,1,5.0,4.8,496,4.9,4937,4.9,1369
dwight schrute shirt,38.0,3,13.0,4.3,15905,4.8,2272,4.7,251
dxl,2.0,1,23.0,4.5,747,4.7,7408,4.6,13
dxl big and tall,7.0,5,25.0,4.6,502,4.7,18189,4.3,51
dxl big and tall shirts,1.0,7,13.0,4.8,34,4.5,73090,4.6,65946
dxm,35.0,5,8.0,4.7,1827,4.6,1530,5.0,4
dzdzcrafts,27.0,1,6.0,4.4,71,4.4,242,5.0,1
dzl art,11.0,1,7.0,4.5,36,4.8,111,4.3,139
ear buds,1.0,3,,4.0,19163,4.3,10391,,
ear pods,1.0,3,,4.0,19163,4.3,104194,,
ear thermometer,36.0,5,,4.4,10144,4.6,8575,,
earpods,,3,15.0,,,4.7,70658,3.9,3
earrings,2.0,3,,4.5,10962,4.6,14296,,
earrings for women,1.0,2,2.0,4.5,10962,,,,
easel for kids,8.0,5,20.0,4.7,1911,4.7,3766,4.9,65
easter basket,13.0,1,,4.7,36548,4.8,542,,
easter candy,13.0,1,6.0,4.3,196,4.7,3105,4.4,426
easter chocolate,21.0,1,8.0,4.7,3205,4.0,4,4.5,1012
eb5,26.0,5,8.0,4.7,4455,4.7,1316,4.5,429
ebay,1.0,2,,4.9,1332,4.4,185,,
ebay gift card,1.0,2,,4.9,1332,4.9,33050,,
ebay gift card email delivery,1.0,4,,4.8,2980,4.7,1781,,
ebt amazon fresh,6.0,2,,4.8,4979,4.6,1376,,
ebt eligible food items,22.0,2,,4.8,6888,4.6,439,,
ebt grocery items,37.0,2,45.0,4.5,1445,4.6,34103,4.7,17901
echinacea,28.0,5,11.0,4.8,91,4.8,4318,4.7,6313
echo dot,3.0,1,,4.7,969091,4.5,204083,,
echo dot 3rd gen,1.0,4,,4.8,22085,4.7,13594,,
echo dot 4th generation,3.0,2,13.0,4.7,97398,4.5,204083,,
echo dot with clock,1.0,2,,4.8,22097,4.7,97414,,
echo flex,1.0,14,,4.5,68970,3.8,14,,
echo show,2.0,1,,4.6,275630,4.7,139464,,
echo show 10,3.0,1,,4.7,37790,4.5,11379,,
echo show 5,1.0,2,21.0,4.6,275631,4.6,6228,,
echo show 8,2.0,1,,4.8,925,4.7,139468,,
echo spot,2.0,1,4.0,4.5,21236,4.5,11379,,
edc,50.0,2,,3.4,8,4.7,2808,,
educational toys,37.0,3,,4.8,3344,4.4,10911,,
educational toys for 2 year old,6.0,5,,4.8,47452,4.4,10911,,
educational toys for 3 year old,7.0,5,,4.8,47452,4.4,10911,,
educational toys for 4 year old,35.0,5,,4.8,47452,4.4,758,,
educational toys for babies 12-36 months,34.0,3,,4.8,1539,4.7,106,,
educational toys for kids 5-7,53.0,5,6.0,4.7,8864,4.8,13442,4.8,28
educational toys for toddlers age 2,41.0,2,,4.8,47452,4.4,1090,,
eero,1.0,7,,4.5,1394,4.5,1393,,
eero 6,3.0,1,,4.5,1394,3.9,44665,,
eero mesh wifi system,1.0,8,,4.4,925,4.5,1393,,
eero pro,3.0,1,,4.6,7668,3.9,44665,,
eero pro 6,2.0,1,,4.3,670,3.9,44665,,
eero pro 6 3 pack,2.0,1,,4.6,7668,4.5,11379,,
eevee,20.0,2,6.0,4.8,589,4.6,92,4.0,2
efile nail drill,11.0,5,,4.7,914,4.5,29703,,
egg noodles,2.0,6,36.0,4.8,1746,4.8,872,4.7,60
eggs,3.0,1,35.0,4.8,4436,3.0,97,,
egift,21.0,1,,4.8,2980,4.9,519023,,
egift card,1.0,3,,4.9,519020,4.9,519020,,
egift card (email delivery),1.0,2,,4.8,2980,4.9,519022,,
egift cards by email,1.0,4,,4.9,519022,4.7,4752,,
eiffel tower decor,14.0,2,3.0,4.3,21,4.6,1265,,
eiffel tower lego,20.0,1,3.0,4.4,734,4.9,4019,4.7,33
eight o'clock coffee k cups,40.0,2,25.0,4.3,3039,4.8,1555,4.8,45
eight o'clock ground coffee,24.0,5,6.0,4.4,4674,4.7,8637,4.3,109
eight oclock whole bean coffee,27.0,2,3.0,4.4,711,4.6,9568,4.8,159
ejercicio,21.0,2,47.0,5.0,1,4.5,15250,5.0,1
ejercicios accesorios,6.0,2,40.0,4.5,52,4.3,18700,4.5,1725
ekg monitor kardia,,3,,,,4.5,23879,,
ekg monitoring devices,,3,,,,4.5,23879,,
elderberry gummies,1.0,5,,4.6,1215,4.8,58875,,
electric can opener,11.0,5,16.0,4.3,5709,4.8,31797,4.8,1874
electric fireplace,16.0,5,5.0,4.7,79,4.7,2576,4.7,2576
electric guitar,24.0,5,9.0,3.3,6,4.5,3810,3.3,3
electric kettle,11.0,5,42.0,4.8,3849,4.6,22187,4.7,28473
electric nail file,23.0,5,6.0,4.6,1869,4.5,29703,,
ember mug,14.0,2,3.0,4.6,156,4.2,672,4.5,540
emergen c,43.0,5,11.0,4.7,350,4.9,19464,4.9,1773
emergency c,43.0,5,10.0,4.7,350,4.9,19464,4.9,1773
emergency c immune plus,52.0,5,9.0,4.7,221,4.9,5409,4.9,1773
emery boards,31.0,5,30.0,4.3,62,4.7,6559,4.7,39
emo clothes,13.0,1,1.0,4.4,141,4.1,1179,4.1,1179
enamel pins,37.0,1,2.0,4.9,343,4.6,95,,
end table,,1,11.0,,,4.3,10348,4.2,61
end tables for living room,51.0,2,5.0,4.8,131,4.5,2857,4.5,91
energy drinks,12.0,5,,4.1,1032,4.8,27155,,
engagement gift,15.0,3,,4.7,8513,4.8,365,,
entertainment center,32.0,2,3.0,4.5,8,4.5,8345,4.5,325
entryway bench,13.0,1,22.0,4.4,110,4.7,294,4.7,9646
entryway table,24.0,2,11.0,4.8,990,4.3,637,4.6,152
envelopes,6.0,5,51.0,4.8,10210,4.8,8556,4.5,3380
envelopes self seal,6.0,5,56.0,4.8,10210,4.8,8556,5.0,11
eotech,38.0,2,4.0,3.9,525,4.7,399,4.6,431
epsom salt,5.0,6,6.0,4.7,10301,4.8,9363,4.8,9363
epsom salt for bath,8.0,5,5.0,4.8,19676,4.8,9363,4.8,9363
epson 220 ink,45.0,5,43.0,4.7,33,4.6,3451,4.0,182
equate,42.0,1,2.0,4.7,1908,4.1,294,4.8,343
equate allergy relief,13.0,3,6.0,4.8,3065,4.8,104,4.3,21
equate body wash,6.0,1,1.0,4.5,634,4.8,9,4.8,9
equate flushable wipes,5.0,1,1.0,4.5,2700,4.6,2827,4.6,2827
equate hand sanitizer,4.0,3,9.0,4.6,13550,4.7,31593,3.9,4960
equate ibuprofen,2.0,3,7.0,4.8,26199,4.8,5010,5.0,2
equate mouthwash,1.0,3,3.0,4.6,4000,4.9,19,4.9,19
equate pads,33.0,1,1.0,4.3,1634,4.7,67,4.7,67
equate protein shakes,10.0,5,5.0,4.5,132,4.6,80,4.6,80
equestria girls dolls,,1,9.0,,,4.6,352,4.8,538
equestrian,31.0,2,8.0,4.3,785,4.5,547,4.6,60
equipment mat,25.0,5,38.0,4.7,1626,4.7,5677,3.6,136
erasers,23.0,5,,4.2,50,4.8,13104,,
erector set,17.0,5,36.0,4.3,393,4.7,1427,4.8,12
erector sets,24.0,2,33.0,4.3,393,4.7,1427,4.8,12
erector sets for boys age 8-12,23.0,5,40.0,4.7,2610,4.7,1427,4.5,36
ergonomic chair,54.0,5,11.0,4.4,396,4.5,1949,4.4,2840
ergonomic office chair,49.0,5,14.0,4.4,396,4.5,1950,4.7,145
erythritol,10.0,5,20.0,4.5,159,4.6,8024,4.6,98
espresso,40.0,2,,4.4,248,4.4,11713,,
essential oil set,56.0,5,58.0,4.5,74,4.4,70907,4.7,293
etch a sketch for kids,18.0,2,,4.7,1011,4.7,1511,,
ethernet,5.0,3,,4.7,56992,4.7,17617,,
ethernet cable,1.0,3,,4.7,56992,4.7,27297,,
eucalyptus oil,11.0,5,20.0,4.7,348,4.3,25241,4.9,48
eucerin,17.0,1,39.0,4.4,357,4.8,1791,4.3,336
eucerin lotion,40.0,5,36.0,4.2,252,4.7,8570,4.7,448
evaporated milk,1.0,2,8.0,4.7,1374,4.4,54,5.0,5
evenflo car seat,18.0,2,24.0,4.7,30,4.6,516,4.0,9
evening primrose oil,28.0,5,10.0,4.5,745,4.6,15360,4.6,687
everything bagel seasoning,7.0,5,8.0,4.8,1303,4.6,2311,4.8,7298
everything but the bagel seasoning,40.0,5,5.0,4.5,1063,4.7,16133,4.7,16133
evil eye,31.0,1,,4.5,362,3.7,478,,
evil eye necklace,24.0,2,22.0,4.5,362,4.6,1125,5.0,3
evil eye ring,47.0,1,12.0,4.5,362,4.4,334,4.3,549
ewedoos,28.0,2,,4.5,1525,4.7,13448,,
ewok costume,49.0,1,3.0,4.7,5199,4.9,154,4.2,2050
ewok funko,21.0,1,1.0,4.7,940,4.8,206,4.8,206
excedrin,11.0,2,2.0,4.7,1908,4.6,250,4.6,250
excedrin migraine,6.0,2,2.0,4.7,1908,4.8,56,4.8,56
exersaucer,37.0,1,1.0,4.4,2948,4.7,771,4.7,771
expanding file folder,1.0,5,,4.7,24095,4.6,1831,,
extension cord,1.0,5,,4.8,4146,4.8,42769,,
eye makeup,26.0,1,44.0,4.5,8469,4.5,104334,4.4,215
eyelashes,38.0,3,9.0,4.3,8028,4.6,3814,4.6,261
ez bake oven,,1,1.0,,,4.2,2079,4.2,2079
ez fold arcade basketball game,22.0,2,6.0,4.6,712,4.6,792,4.5,131
ezekiel bread,24.0,1,6.0,4.4,999,4.7,4350,2.8,6
fabric,1.0,3,43.0,4.7,2001,4.4,3887,4.1,7
fabric softener,31.0,5,35.0,4.1,44,4.9,665,4.8,1182
fabuloso,21.0,5,9.0,4.7,335,4.8,977,4.8,164
face mask,1.0,5,,4.4,225,4.6,29903,,
face mask bracket,16.0,5,6.0,4.6,385,4.2,484,,
face mask brush,45.0,5,,4.6,18,4.6,43202,,
face mask for men,1.0,5,,4.1,8643,4.7,102,,
face mask for virus protection,17.0,5,38.0,4.1,8643,4.5,112,4.5,1181
face mask medical,6.0,5,,4.4,30038,4.6,8561,,
face mask n95,1.0,5,6.0,4.2,601,4.5,41028,4.5,468
face mask reusable,1.0,5,6.0,4.4,225,4.8,1184,,
face mask washable,1.0,5,37.0,4.4,225,4.5,102,4.7,586
face masks,1.0,5,41.0,4.6,455,4.6,24903,4.7,586
face masks disposable,1.0,5,31.0,4.6,455,4.6,29903,4.5,108
face masks for kids,17.0,5,21.0,4.1,8643,4.7,1302,4.2,3465
face masks washable,6.0,5,39.0,4.3,4725,4.8,1183,4.7,586
face shield,14.0,5,25.0,4.3,780,4.5,17633,4.3,6149
face shields,27.0,5,14.0,4.3,780,4.5,17631,4.3,6149
face shields for virus protection,38.0,5,7.0,4.3,780,4.5,3261,4.5,2794
face wash,23.0,5,49.0,4.3,3040,4.7,34642,4.7,979
facial cleansing brush,10.0,5,,4.3,31,4.5,2884,,
facial tissue,6.0,5,20.0,4.7,1344,4.8,29918,4.8,490
fairy lights,1.0,5,,4.4,420,4.6,9104,,
fake eyelashes,36.0,3,,4.3,8029,4.2,12679,,
false eyelashes,37.0,5,11.0,4.3,8029,4.2,12679,4.6,261
family christmas pajamas,39.0,2,24.0,4.8,20336,4.5,1344,3.4,224
family christmas pjs matching sets,3.0,2,,4.8,9821,4.4,704,,
family games,31.0,5,9.0,4.8,2774,4.7,964,4.8,743
fan,1.0,3,,4.6,10585,4.6,8238,,
fashion,29.0,1,4.0,4.5,2281,4.9,255,4.8,11
fathers day card,13.0,1,,4.8,21304,4.8,560,,
fathers day gifts,1.0,3,39.0,4.2,242,4.5,4472,4.8,886
fathers day gifts for dad,1.0,3,,4.2,242,4.8,224,,
fbi badge,46.0,2,6.0,4.4,12,3.7,37,3.1,31
fbi jacket,12.0,1,1.0,4.5,383,4.6,256,4.6,256
fda approved face mask,1.0,5,18.0,4.1,8643,4.4,114,4.5,2776
fda approved kn95 face mask,17.0,5,10.0,4.1,8643,4.5,9141,4.5,679
fda approved thermometer,29.0,5,,4.4,10144,4.5,133,,
fde scope,19.0,5,6.0,4.1,6,4.4,105,4.3,593
fdw,52.0,1,1.0,4.4,4,4.6,430,4.6,430
felt tip pens,1.0,3,,4.7,4542,4.9,6776,,
feminine wash,40.0,5,38.0,4.3,135,4.7,5342,4.5,641
fenugreek,15.0,5,6.0,4.4,137,4.4,7389,4.6,1820
ferrero rocher chocolate,34.0,3,8.0,4.7,2032,4.8,3126,4.6,28
ff14,5.0,1,14.0,3.3,26,4.9,413,4.6,16
ffp2,7.0,5,9.0,4.6,138,4.5,279,1.6,5
ffp2 mask,1.0,5,12.0,4.1,8643,4.2,390,1.6,5
ffxiv time card,7.0,1,14.0,3.3,26,4.8,2973,2.3,10
fgteev merch,16.0,1,1.0,4.7,354,4.6,185,4.6,185
fgteev merch for kids,32.0,1,1.0,4.6,1092,4.6,185,4.6,185
fgteev toys,13.0,1,4.0,4.6,1624,4.6,2221,4.3,447
fgtv toys,44.0,1,4.0,4.3,56,4.8,4564,4.5,2
fheaicr,35.0,2,33.0,4.6,847,4.1,115,4.3,3968
fhi blow dryer,23.0,5,44.0,4.4,253,4.5,350,4.5,4669
fhsqx,51.0,1,15.0,4.7,262,4.9,20,,
fiji water,53.0,3,8.0,4.7,7100,4.8,15870,4.9,41
file cabinet,29.0,3,5.0,4.8,17877,4.5,5310,4.6,210
file folders,2.0,3,,4.8,18933,4.8,9905,,
file folders letter size,1.0,3,,4.8,18934,4.8,9318,,
file organizer,1.0,3,,4.7,24095,4.5,3097,,
filing cabinet,36.0,3,5.0,4.8,17877,4.5,5310,4.6,210
fire hd 10 tablet case,1.0,2,32.0,4.7,27566,4.7,14953,4.7,1564
fire stick,1.0,4,,4.8,77682,4.8,77778,,
fire stick 4k,1.0,3,,4.7,494180,3.9,44665,,
fire tablet,1.0,11,,4.6,66244,4.4,5217,,
fireplace,1.0,3,8.0,4.3,38,,,4.7,2576
fisher price little people,7.0,1,17.0,4.8,2078,4.9,1187,4.9,12241
fisher price toys,9.0,1,,4.6,39513,4.5,10,,
fishing gifts for men,4.0,2,,4.6,1834,4.7,5507,,
fitbit charge 4,13.0,3,,4.1,458,4.5,31203,,
fitbit versa 2 bands,27.0,5,,4.4,43,4.4,783,,
fjallraven kanken backpack,13.0,1,11.0,4.7,353,4.6,2765,4.7,182
fk88 smart watch,3.0,4,,4.3,5265,4.4,611,,
fka twigs,1.0,2,3.0,4.7,514,4.6,86,4.1,60
flair pens,14.0,2,51.0,4.7,4542,4.9,6776,4.8,69
flannel sheets,22.0,5,26.0,4.7,6768,4.5,2137,4.7,73
flannel shirt for men,1.0,5,36.0,4.7,15841,4.6,28131,4.2,33
flat screen tv,1.0,3,11.0,4.8,77687,4.6,37780,4.6,2035
flats shoes women,2.0,3,33.0,4.4,17328,4.5,19796,4.7,1608
flawless hair remover,17.0,5,9.0,4.1,1095,4.4,60734,,
flax seeds,9.0,5,40.0,4.8,2742,4.8,2422,5.0,3
flip flops,8.0,2,,4.3,6821,4.4,3853,,
flip flops for women,7.0,5,,4.3,6821,4.4,5907,,
floating shelves,24.0,2,,4.4,178,4.3,497,,
floor jack,1.0,3,9.0,4.0,117,4.4,3347,4.7,721
floor lamps for living room,1.0,3,,4.4,91,4.3,963,,
floor mats,25.0,1,,4.2,6616,4.3,39313,,
floor mats for cars,11.0,2,17.0,4.2,6616,4.3,39313,4.3,2750
floss,38.0,5,37.0,4.6,1259,4.8,6940,4.7,1300
flour,12.0,2,13.0,4.8,2320,4.8,1598,4.5,344
flour all purpose,3.0,2,7.0,4.8,2729,4.8,1598,4.5,344
flour unbleached all purpose,32.0,2,4.0,4.8,2729,4.8,1598,4.8,372
flowbee haircutting system,20.0,1,8.0,4.4,637,4.6,476,3.2,17
flowers,,2,6.0,,,4.5,45,4.4,78
flowers for delivery prime,14.0,2,,4.2,12597,4.3,2927,,
flushable wipes,42.0,5,5.0,4.7,39095,4.6,469,4.6,469
fm radio,13.0,3,4.0,4.3,1855,4.6,2427,,
fm radio portable,20.0,3,,4.3,1855,4.4,5965,,
fm radio with bluetooth,21.0,3,,4.4,1636,4.3,3509,,
fnaf blanket,55.0,5,,4.7,420,4.4,231,,
fnaf funko pop,,1,1.0,,,4.6,372,4.6,372
foam roller,7.0,5,32.0,4.6,48524,4.7,16122,,
foaming hand soap,13.0,5,6.0,4.6,381,4.8,1629,,
folders,1.0,5,,4.8,4060,4.8,9905,,
folders with pockets,1.0,5,,4.8,4350,4.8,1484,,
folding chairs,2.0,3,12.0,4.7,2303,4.7,3793,4.8,800
folding table,35.0,2,13.0,4.6,3766,4.7,15995,4.6,146
food,4.0,2,24.0,4.7,3819,4.7,2836,4.5,1239
food scale,32.0,5,,4.7,24601,4.6,58511,,
foot massager,1.0,5,35.0,4.5,157,4.4,10521,4.4,969
forehead thermometer,20.0,5,,4.4,10144,4.4,14221,,
fortnite,44.0,1,20.0,4.8,684,4.6,3966,4.4,130
fortnite nerf,3.0,1,12.0,4.7,1878,4.5,8375,4.6,194
fortnite toys,9.0,1,17.0,4.8,684,4.8,551,4.7,133
fountain pen,1.0,5,53.0,4.4,1843,4.5,7394,4.5,100
fpv camera,39.0,5,6.0,4.3,229,4.3,318,,
fpv camera and transmitter,12.0,2,30.0,4.3,229,4.2,127,,
fpv goggles,7.0,3,11.0,4.3,229,3.8,298,4.2,7
fpv race drone,25.0,2,3.0,3.7,194,4.6,13,,
fqsvf,21.0,5,8.0,4.7,1225,4.6,656,3.4,34
fqsvf ge water filter replacement,38.0,5,6.0,4.7,560,4.6,656,3.4,34
friends tv show merchandise,14.0,2,48.0,4.6,275634,4.3,5013,4.3,44
friskies canned cat food,52.0,2,12.0,3.9,79,4.7,13688,4.6,342
frozen,16.0,1,,4.8,5475,4.3,2021,,
frozen 2 toys,5.0,1,,4.9,454,4.7,1659,,
frozen toys,9.0,2,26.0,4.6,140,4.7,1659,4.5,835
frozen toys for girls,32.0,2,41.0,4.6,140,4.8,1043,,
frozen vegetables,1.0,9,,4.7,4221,4.7,1377,,
fsa,53.0,5,38.0,4.6,4159,4.4,3275,4.2,1470
fsa hsa approved,54.0,5,43.0,4.6,4159,4.8,3886,4.6,5946
fsa hsa approved products only vitamins,56.0,5,16.0,4.5,10675,4.5,250,4.5,166751
ftm binder,23.0,2,3.0,4.4,2080,4.0,1095,4.1,369
full exterior covers,11.0,2,18.0,4.5,1641,4.3,6499,5.0,1
full length mirror,9.0,2,33.0,4.4,298,4.6,1574,4.6,201
full size bed frame,2.0,4,7.0,4.8,41927,4.6,3110,4.4,94
full size mattress,39.0,5,21.0,4.5,8306,4.6,73730,4.9,72
funko,4.0,1,6.0,4.9,1861,,,,
funko pop,3.0,1,46.0,,,4.9,905,5.0,3
funko pop -pez -supercute -dorbz -keychain -star: -plush,4.0,1,3.0,4.7,1236,4.7,73,4.9,876
funny face mask,1.0,3,18.0,4.4,17,3.8,336,4.1,172
funny socks,5.0,3,19.0,4.7,663,4.4,3224,4.8,2514
futon,9.0,2,19.0,4.0,171,3.9,7517,4.0,26
futon sofa bed,8.0,2,6.0,4.0,171,3.9,7517,4.0,1187
fuzzy socks,37.0,1,41.0,4.6,4115,4.4,5403,4.3,958
fw1 cleaning wax,52.0,2,2.0,4.7,32720,4.8,1094,4.8,1094
fw1 wash and wax,38.0,1,1.0,4.7,32720,4.8,1094,4.8,1094
gaiter mask for men,1.0,5,,4.2,151,4.5,308,,
games,18.0,2,,4.7,8473,3.2,3,,
games for kids ages 4-8,5.0,2,,4.8,13442,4.8,10904,,
gaming headset,16.0,3,,4.5,589,4.5,63250,,
gaming monitor,,2,19.0,,,4.7,4713,4.6,4864
gaming mouse pad,23.0,5,19.0,4.6,21977,4.7,3092,4.7,315
garbage bags,6.0,5,,4.7,57469,4.8,24046,,
garlic powder,6.0,5,22.0,4.7,1647,4.6,2540,4.7,105
gas can,14.0,2,28.0,4.2,33,4.5,3333,4.5,6
gatorade,21.0,5,14.0,4.4,1262,4.8,19021,4.5,12
gbh womens loose fit fleece jogger sweatpants,1.0,5,8.0,4.4,10904,4.2,1387,4.1,28
gbh womens sweatshirts,,2,4.0,,,,,,
gci freestyle rocker,36.0,1,2.0,4.5,2648,4.8,11413,4.8,430
gci outdoor chair,48.0,2,17.0,4.6,8131,4.8,11413,4.7,28
gci outdoor freestyle rocker,52.0,2,8.0,4.5,2648,4.8,11413,4.8,67
gci rocker,47.0,2,7.0,4.5,2648,4.7,3116,4.8,138
gdiapers,12.0,2,13.0,4.2,60,5.0,1,4.7,5
gdisney girls dressup,45.0,1,25.0,4.4,10785,4.1,55,4.3,162
gender reveal,14.0,2,,4.7,44,4.7,2344,,
generator,1.0,3,,4.3,396,4.7,1380,,
george jeans,11.0,1,4.0,4.3,8634,4.5,18090,4.7,4
gerber baby food,45.0,5,,4.7,268,4.8,3117,,
gf gifts,17.0,5,,4.5,275,4.5,1840,,
gf pretzels,2.0,3,5.0,4.1,130,4.6,912,4.8,42
gfuel,14.0,2,38.0,4.8,65152,4.5,1775,4.4,18
gg bag,44.0,2,17.0,4.4,2087,4.0,434,4.4,265
gg crackers,54.0,5,14.0,4.6,1140,4.1,1258,4.2,14
gg scandinavian fiber crispbread,19.0,2,6.0,3.4,138,4.3,224,3.4,8
ghirardelli,20.0,4,7.0,4.6,7425,4.7,1992,4.5,165
ghirardelli chocolate chips,24.0,1,12.0,4.7,423,4.7,2060,5.0,1
gi joe classified series,8.0,1,1.0,4.6,1396,4.4,45,4.4,45
gift basket,1.0,3,46.0,4.9,2999,4.5,486,4.5,36
gift baskets,1.0,3,26.0,4.9,2999,4.6,4666,4.5,36
gift card,2.0,3,,4.9,519019,4.8,65152,,
gift cards for amazon,20.0,1,,4.9,4763,3.9,44665,,
gift cards to purchase,1.0,3,46.0,4.9,519020,4.8,13939,4.5,73090
"gift ideas, for women",14.0,2,,4.3,307,4.5,5231,,
gift sets under $10,6.0,1,,4.7,4489,4.4,1793,,
gifts for boyfriend,13.0,1,21.0,4.1,75,4.9,515,4.7,9
gifts for men,6.0,1,51.0,4.6,1834,4.9,519020,,
gifts for mom,40.0,3,39.0,4.6,12840,4.6,181,4.7,21060
gifts for teenage boys,1.0,3,49.0,4.6,1304,4.7,3105,4.5,7874
gifts for teenage girls,1.0,3,43.0,4.6,1304,4.5,1565,4.7,264
gifts for women,37.0,2,,4.6,12840,4.6,7340,,
ginger tea,10.0,5,9.0,4.6,914,4.7,989,4.6,29015
girl toys,12.0,2,47.0,4.8,47452,4.6,22247,4.8,28
girl toys 5-7,40.0,3,17.0,4.6,135765,4.8,41663,4.8,28
girls dresses,5.0,1,45.0,4.7,1784,4.7,7102,4.6,263
girls socks,1.0,3,11.0,4.6,7053,4.7,582,4.6,2200
girls swimsuits,43.0,1,1.0,4.8,10247,4.6,2548,4.6,2548
girls toys age 6-8,31.0,5,,4.8,3344,4.8,10904,,
girls toys ages 8-11,10.0,2,,4.8,16902,4.5,6927,,
girls' dresses,7.0,2,54.0,4.8,435,4.7,7102,4.4,75
gjetost cheese,18.0,2,2.0,4.7,2620,4.5,205,4.5,205
gjzz lcd drawing doodle board,7.0,3,,4.5,341,4.4,3917,,
gjzz lcd drawing doodle board for 3-7,9.0,5,,4.5,341,4.4,3917,,
gk61,6.0,3,,4.6,4784,4.7,6271,,
gk61 61 gaming keyboard,6.0,3,5.0,4.6,4783,4.7,6270,4.6,117
gk61 keycaps,2.0,1,6.0,4.6,4784,3.6,30,4.0,6
gk61 mechanical gaming keyboard,10.0,3,,4.6,4784,4.7,6271,,
gk61 mechanical keyboard,9.0,3,,4.6,4783,4.7,6270,,
glass cleaner,20.0,5,6.0,4.4,184,4.8,2141,4.8,1658
glass pipe,,1,18.0,,,4.8,26,4.4,23
glass tupperware,47.0,5,19.0,4.5,10512,4.7,15819,4.6,14379
glasses,33.0,2,,4.2,412,4.6,32434,,
gloves,50.0,5,24.0,4.4,173,4.5,4918,4.7,3248
gloves disposable,1.0,5,23.0,4.5,330,4.4,10622,3.8,17
glucosamine chondroitin,17.0,5,10.0,4.6,2520,4.6,7917,4.7,2109
glue sticks,1.0,5,35.0,4.7,3912,4.8,20925,4.5,56
gluten free,6.0,3,38.0,3.9,448,4.7,69,,
gluten free pasta,9.0,5,26.0,4.3,242,4.7,3545,4.7,21
gluten free snacks,16.0,5,23.0,4.1,130,4.3,239,4.5,92
gmc sierra accessories,14.0,2,36.0,4.2,662,4.7,2180,4.4,3936
gnocchi,3.0,4,10.0,3.9,448,4.5,168,4.7,68
gnome,25.0,1,1.0,4.8,1479,,,,
gnome christmas decorations,24.0,2,35.0,4.7,622,4.8,366,,
gnome christmas ornaments,10.0,2,27.0,4.7,622,4.9,1779,4.5,30
gnome christmas tree,7.0,1,8.0,4.7,622,4.3,108,4.7,193
gnome ornaments,48.0,2,7.0,4.7,622,4.8,261,5.0,1
gold necklaces for women,20.0,2,38.0,3.7,55,4.5,1284,4.3,870
goldfish,50.0,3,20.0,4.2,1191,5.0,1,,
golf,42.0,2,10.0,4.4,4596,5.0,11,2.5,3
google home,1.0,3,,4.8,65152,4.7,139470,,
google play gift card,18.0,2,30.0,4.9,4763,3.9,44665,2.7,16
google play gift card e-mail delivery,14.0,1,,4.9,519022,5.0,1,,
goth,13.0,1,1.0,4.7,4962,4.7,420,4.7,420
gotta go flamingo,13.0,1,2.0,4.7,9160,4.5,3949,4.5,26
graco extend2fit convertible car seat,37.0,1,29.0,4.8,2189,4.9,37271,4.8,324
graduation cards 2020,6.0,5,55.0,4.9,7589,4.9,519022,4.8,149
graham crackers,6.0,5,8.0,4.5,1560,4.3,44,4.7,93
